motif_id	region_id	sample_id
FEZF1_M08307_2.00	chr7:80238150-80238165	S6R691V_her2
FEZF1_M08307_2.00	chr7:2354306-2354321	98JKPD8_lumA
FEZF1_M08307_2.00	chr1:84254033-84254048	ANAB5F7_basal
FEZF1_M08307_2.00	chr3:11600777-11600792	ANAB5F7_basal
FEZF1_M08307_2.00	chr8:134682993-134683008	98JKPD8_lumA
FEZF1_M08307_2.00	chr7:8437153-8437168	98JKPD8_lumA
FEZF1_M08307_2.00	chr11:36035167-36035182	98JKPD8_lumA
FEZF1_M08307_2.00	chr3:195260110-195260125	ANAB5F7_basal
FEZF1_M08307_2.00	chr1:193058857-193058872	98JKPD8_lumA
FEZF1_M08307_2.00	chr1:246805405-246805420	2GAMBDQ_norm
FEZF1_M08307_2.00	chr2:43880587-43880602	S6R691V_her2
FEZF1_M08307_2.00	chr12:47651794-47651809	98JKPD8_lumA
FEZF1_M08307_2.00	chr17:19681228-19681243	98JKPD8_lumA
FEZF1_M08307_2.00	chr22:17151334-17151349	ANAB5F7_basal
FEZF1_M08307_2.00	chr9:34664485-34664500	98JKPD8_lumA
FEZF1_M08307_2.00	chr4:185654913-185654928	98JKPD8_lumA
FEZF1_M08307_2.00	chr11:9572308-9572323	2GAMBDQ_norm
FEZF1_M08307_2.00	chr15:60398357-60398372	98JKPD8_lumA
FEZF1_M08307_2.00	chr6:12290492-12290507	ANAB5F7_basal
FEZF1_M08307_2.00	chr4:140450601-140450616	S6R691V_her2
FEZF1_M08307_2.00	chr2:235444983-235444998	98JKPD8_lumA
FEZF1_M08307_2.00	chr6:159783283-159783298	ANAB5F7_basal
FEZF1_M08307_2.00	chr20:4162370-4162385	ANAB5F7_basal
FEZF1_M08307_2.00	chr8:78644642-78644657	S6R691V_her2
FEZF1_M08307_2.00	chr7:28986470-28986485	ANAB5F7_basal
FEZF1_M08307_2.00	chr1:109275203-109275218	98JKPD8_lumA
FEZF1_M08307_2.00	chr2:10435066-10435081	ANAB5F7_basal
FEZF1_M08307_2.00	chr4:10256425-10256440	98JKPD8_lumA
FEZF1_M08307_2.00	chr13:72199205-72199220	98JKPD8_lumA
FEZF1_M08307_2.00	chr2:215311585-215311600	ANAB5F7_basal
FEZF1_M08307_2.00	chr9:22052724-22052739	ANAB5F7_basal
FEZF1_M08307_2.00	chr3:25509114-25509129	2GAMBDQ_norm
FEZF1_M08307_2.00	chr7:90421804-90421819	2GAMBDQ_norm
FEZF1_M08307_2.00	chr18:42379149-42379164	2GAMBDQ_norm
FEZF1_M08307_2.00	chr2:36988251-36988266	98JKPD8_lumA
FEZF1_M08307_2.00	chr12:11650485-11650500	98JKPD8_lumA
FEZF1_M08307_2.00	chr12:68240472-68240487	PU24GB8_lumB
FEZF1_M08307_2.00	chr1:192575618-192575633	PU24GB8_lumB
FEZF1_M08307_2.00	chr13:112913594-112913609	PU24GB8_lumB
FEZF1_M08307_2.00	chr14:64879373-64879388	98JKPD8_lumA
FEZF1_M08307_2.00	chr11:75723267-75723282	ANAB5F7_basal
FEZF1_M08307_2.00	chr6:5891942-5891957	98JKPD8_lumA
FEZF1_M08307_2.00	chr1:168621628-168621643	ANAB5F7_basal
FEZF1_M08307_2.00	chr6:72271899-72271914	S6R691V_her2
FEZF1_M08307_2.00	chr20:47506761-47506776	PU24GB8_lumB
