motif_id	region_id	sample_id
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr18:23452828-23452842	ANAB5F7_basal
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr18:3262188-3262202	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr11:34621179-34621193	S6R691V_her2
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr4:2934952-2934966	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr9:89757203-89757217	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr9:107337273-107337287	ANAB5F7_basal
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr14:80941743-80941757	ANAB5F7_basal
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr4:183444193-183444207	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr12:121794128-121794142	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr17:82134293-82134307	2GAMBDQ_norm
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr19:10643714-10643728	ANAB5F7_basal
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr16:87968698-87968712	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr8:133092194-133092208	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr10:132320372-132320386	ANAB5F7_basal
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr2:177161823-177161837	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr22:33806296-33806310	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr3:150733962-150733976	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr3:64239152-64239166	2GAMBDQ_norm
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr9:111525497-111525511	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr1:156262562-156262576	ANAB5F7_basal
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr12:112932619-112932633	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr1:77539490-77539504	98JKPD8_lumA
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr6:168146189-168146203	S6R691V_her2
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr17:77332291-77332305	S6R691V_her2
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr6:141483608-141483622	S6R691V_her2
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr9:130200428-130200442	ANAB5F7_basal
RUNX2_RUNX2_HUMAN.H11MO.0.A	chr6:156013311-156013325	2GAMBDQ_norm
