motif_id	region_id	sample_id
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr19:14518473-14518487	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr10:73997811-73997825	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr21:39312494-39312508	PU24GB8_lumB
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr15:97960860-97960874	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr11:61429980-61429994	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr5:132294356-132294370	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr2:170928909-170928923	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr9:6080406-6080420	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr18:12991392-12991406	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr15:89690762-89690776	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr6:159762291-159762305	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr13:46894166-46894180	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr5:112921543-112921557	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr10:69408797-69408811	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr16:57372936-57372950	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr17:67993852-67993866	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr12:9648071-9648085	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr2:231388618-231388632	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr1:207818335-207818349	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr4:56908273-56908287	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr10:133262159-133262173	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr5:139788169-139788183	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr9:36257982-36257996	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr6:3259221-3259235	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr14:94174197-94174211	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr9:104928241-104928255	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr1:23778336-23778350	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr15:88246938-88246952	ANAB5F7_basal
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr7:73842634-73842648	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr5:177086862-177086876	S6R691V_her2
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr12:19129731-19129745	98JKPD8_lumA
TFDP1_TFDP1_HUMAN.H11MO.0.C	chr22:20131720-20131734	98JKPD8_lumA
