motif_id	region_id	sample_id
PKNOX1_MA0782.2	chr4:48017481-48017496	ANAB5F7_basal
PKNOX1_MA0782.2	chr12:13000834-13000849	98JKPD8_lumA
PKNOX1_MA0782.2	chr1:85062281-85062296	98JKPD8_lumA
PKNOX1_MA0782.2	chr1:62296233-62296248	ANAB5F7_basal
PKNOX1_MA0782.2	chr12:52186272-52186287	ANAB5F7_basal
PKNOX1_MA0782.2	chr1:180544177-180544192	98JKPD8_lumA
PKNOX1_MA0782.2	chr1:164599570-164599585	S6R691V_her2
PKNOX1_MA0782.2	chr17:41785882-41785897	98JKPD8_lumA
PKNOX1_MA0782.2	chr4:1870398-1870413	S6R691V_her2
PKNOX1_MA0782.2	chr12:90344164-90344179	ANAB5F7_basal
PKNOX1_MA0782.2	chr11:62338439-62338454	S6R691V_her2
PKNOX1_MA0782.2	chr1:200917759-200917774	ANAB5F7_basal
PKNOX1_MA0782.2	chr20:59084062-59084077	ANAB5F7_basal
PKNOX1_MA0782.2	chr4:169249800-169249815	98JKPD8_lumA
PKNOX1_MA0782.2	chr5:86239795-86239810	2GAMBDQ_norm
PKNOX1_MA0782.2	chr7:28986073-28986088	98JKPD8_lumA
PKNOX1_MA0782.2	chr16:73360757-73360772	2GAMBDQ_norm
