motif_id	region_id	sample_id
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr2:2613643-2613652	ANAB5F7_basal
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr1:200296486-200296495	98JKPD8_lumA
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr10:22599015-22599024	98JKPD8_lumA
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr1:245995187-245995196	98JKPD8_lumA
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr6:27894142-27894151	ANAB5F7_basal
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr18:12419770-12419779	ANAB5F7_basal
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr2:215311589-215311598	ANAB5F7_basal
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr3:11706765-11706774	S6R691V_her2
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr7:113870903-113870912	98JKPD8_lumA
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr11:75723269-75723278	ANAB5F7_basal
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr4:10117540-10117549	ANAB5F7_basal
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr2:109644133-109644142	98JKPD8_lumA
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr4:144748748-144748757	2GAMBDQ_norm
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr6:5891944-5891953	98JKPD8_lumA
FOXO4_FOXO4_HUMAN.H11MO.0.C	chr12:123301942-123301951	2GAMBDQ_norm
