motif_id	region_id	sample_id
FOSL2_MA0478.1	chr18:63476810-63476821	ANAB5F7_basal
FOSL2_MA0478.1	chr13:44108585-44108596	98JKPD8_lumA
FOSL2_MA0478.1	chr7:55074206-55074217	ANAB5F7_basal
FOSL2_MA0478.1	chr5:14250264-14250275	98JKPD8_lumA
FOSL2_MA0478.1	chr1:9115132-9115143	ANAB5F7_basal
FOSL2_MA0478.1	chr11:11218918-11218929	98JKPD8_lumA
FOSL2_MA0478.1	chr6:20404185-20404196	ANAB5F7_basal
FOSL2_MA0478.1	chr17:66275861-66275872	S6R691V_her2
FOSL2_MA0478.1	chr7:133512734-133512745	ANAB5F7_basal
FOSL2_MA0478.1	chr7:129592945-129592956	ANAB5F7_basal
FOSL2_MA0478.1	chr5:16574198-16574209	98JKPD8_lumA
FOSL2_MA0478.1	chr15:69424787-69424798	98JKPD8_lumA
FOSL2_MA0478.1	chr10:102404075-102404086	98JKPD8_lumA
FOSL2_MA0478.1	chr17:80988487-80988498	98JKPD8_lumA
FOSL2_MA0478.1	chr1:1676954-1676965	98JKPD8_lumA
FOSL2_MA0478.1	chr3:11706762-11706773	S6R691V_her2
FOSL2_MA0478.1	chr1:34852759-34852770	PU24GB8_lumB
FOSL2_MA0478.1	chr10:91605378-91605389	98JKPD8_lumA
