motif_id	region_id	sample_id
ELF2_ELF2_HUMAN.H11MO.0.C	chr9:136555101-136555114	ANAB5F7_basal
ELF2_ELF2_HUMAN.H11MO.0.C	chr11:3477215-3477228	98JKPD8_lumA
ELF2_ELF2_HUMAN.H11MO.0.C	chr14:49620638-49620651	98JKPD8_lumA
ELF2_ELF2_HUMAN.H11MO.0.C	chr8:143355113-143355126	ANAB5F7_basal
ELF2_ELF2_HUMAN.H11MO.0.C	chr10:110434024-110434037	S6R691V_her2
ELF2_ELF2_HUMAN.H11MO.0.C	chr19:18571682-18571695	ANAB5F7_basal
ELF2_ELF2_HUMAN.H11MO.0.C	chr5:112921542-112921555	98JKPD8_lumA
ELF2_ELF2_HUMAN.H11MO.0.C	chr19:55675106-55675119	98JKPD8_lumA
ELF2_ELF2_HUMAN.H11MO.0.C	chr6:95577387-95577400	ANAB5F7_basal
ELF2_ELF2_HUMAN.H11MO.0.C	chr6:2841894-2841907	PU24GB8_lumB
ELF2_ELF2_HUMAN.H11MO.0.C	chr17:7558146-7558159	98JKPD8_lumA
ELF2_ELF2_HUMAN.H11MO.0.C	chr7:768000-768013	98JKPD8_lumA
ELF2_ELF2_HUMAN.H11MO.0.C	chr8:70217449-70217462	ANAB5F7_basal
ELF2_ELF2_HUMAN.H11MO.0.C	chr8:118620947-118620960	98JKPD8_lumA
ELF2_ELF2_HUMAN.H11MO.0.C	chr19:15779803-15779816	ANAB5F7_basal
ELF2_ELF2_HUMAN.H11MO.0.C	chr15:74791930-74791943	S6R691V_her2
ELF2_ELF2_HUMAN.H11MO.0.C	chr17:80025429-80025442	98JKPD8_lumA
