motif_id	region_id	sample_id
REST_MA0138.2	chr20:45881108-45881129	PU24GB8_lumB
REST_MA0138.2	chr8:19415248-19415269	ANAB5F7_basal
REST_MA0138.2	chr14:24430994-24431015	S6R691V_her2
REST_MA0138.2	chr10:103908411-103908432	ANAB5F7_basal
REST_MA0138.2	chr2:227325342-227325363	98JKPD8_lumA
REST_MA0138.2	chr3:127304362-127304383	S6R691V_her2
REST_MA0138.2	chr6:2841902-2841923	PU24GB8_lumB
REST_MA0138.2	chr8:104278889-104278910	ANAB5F7_basal
REST_MA0138.2	chr1:200891066-200891087	ANAB5F7_basal
REST_MA0138.2	chr5:65926361-65926382	98JKPD8_lumA
REST_MA0138.2	chr11:19420166-19420187	PU24GB8_lumB
REST_MA0138.2	chr20:19552284-19552305	2GAMBDQ_norm
REST_MA0138.2	chr7:73832163-73832184	98JKPD8_lumA
REST_MA0138.2	chr14:51652380-51652401	98JKPD8_lumA
REST_MA0138.2	chr12:101891891-101891912	S6R691V_her2
REST_MA0138.2	chrX:129000394-129000415	PU24GB8_lumB
REST_MA0138.2	chr3:16842460-16842481	ANAB5F7_basal
