motif_id	region_id	sample_id
E2F6_MA0471.2	chr10:73997812-73997825	98JKPD8_lumA
E2F6_MA0471.2	chr11:61429980-61429993	ANAB5F7_basal
E2F6_MA0471.2	chr7:73827940-73827953	S6R691V_her2
E2F6_MA0471.2	chr15:97960861-97960874	98JKPD8_lumA
E2F6_MA0471.2	chr3:134486384-134486397	ANAB5F7_basal
E2F6_MA0471.2	chr2:170928909-170928922	ANAB5F7_basal
E2F6_MA0471.2	chr18:12991392-12991405	ANAB5F7_basal
E2F6_MA0471.2	chr9:6080406-6080419	ANAB5F7_basal
E2F6_MA0471.2	chr15:89690763-89690776	98JKPD8_lumA
E2F6_MA0471.2	chr17:47100399-47100412	ANAB5F7_basal
E2F6_MA0471.2	chr12:9648071-9648084	ANAB5F7_basal
E2F6_MA0471.2	chr17:67993853-67993866	98JKPD8_lumA
E2F6_MA0471.2	chr2:231388619-231388632	ANAB5F7_basal
E2F6_MA0471.2	chr1:207818336-207818349	98JKPD8_lumA
E2F6_MA0471.2	chr4:56908274-56908287	98JKPD8_lumA
E2F6_MA0471.2	chrX:119606545-119606558	ANAB5F7_basal
E2F6_MA0471.2	chr1:23778336-23778349	98JKPD8_lumA
E2F6_MA0471.2	chr15:80173570-80173583	98JKPD8_lumA
E2F6_MA0471.2	chr12:19129731-19129744	98JKPD8_lumA
E2F6_MA0471.2	chr7:73842634-73842647	98JKPD8_lumA
E2F6_MA0471.2	chr1:1163436-1163449	98JKPD8_lumA
E2F6_MA0471.2	chr6:3259227-3259240	ANAB5F7_basal
E2F6_MA0471.2	chr12:10191973-10191986	ANAB5F7_basal
E2F6_MA0471.2	chr15:85459438-85459451	ANAB5F7_basal
E2F6_MA0471.2	chr5:73215994-73216007	98JKPD8_lumA
