motif_id	region_id	sample_id
CDX2_CDX2_HUMAN.H11MO.0.A	chrX:87880419-87880431	2GAMBDQ_norm
CDX2_CDX2_HUMAN.H11MO.0.A	chr10:132265582-132265594	98JKPD8_lumA
CDX2_CDX2_HUMAN.H11MO.0.A	chr16:85472249-85472261	S6R691V_her2
CDX2_CDX2_HUMAN.H11MO.0.A	chr10:29099349-29099361	98JKPD8_lumA
CDX2_CDX2_HUMAN.H11MO.0.A	chr7:28986476-28986488	ANAB5F7_basal
CDX2_CDX2_HUMAN.H11MO.0.A	chr10:58820868-58820880	ANAB5F7_basal
CDX2_CDX2_HUMAN.H11MO.0.A	chr6:155202027-155202039	2GAMBDQ_norm
CDX2_CDX2_HUMAN.H11MO.0.A	chr18:42379110-42379122	2GAMBDQ_norm
CDX2_CDX2_HUMAN.H11MO.0.A	chr7:55092466-55092478	ANAB5F7_basal
CDX2_CDX2_HUMAN.H11MO.0.A	chr6:158922144-158922156	ANAB5F7_basal
CDX2_CDX2_HUMAN.H11MO.0.A	chr18:62936242-62936254	98JKPD8_lumA
CDX2_CDX2_HUMAN.H11MO.0.A	chrX:97162025-97162037	2GAMBDQ_norm
CDX2_CDX2_HUMAN.H11MO.0.A	chr1:164708018-164708030	98JKPD8_lumA
