motif_id	region_id	sample_id
P53_P53_HUMAN.H11MO.0.A	chr1:230910354-230910374	ANAB5F7_basal
P53_P53_HUMAN.H11MO.0.A	chr1:9115135-9115155	ANAB5F7_basal
P53_P53_HUMAN.H11MO.0.A	chr15:37960893-37960913	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr7:135171963-135171983	ANAB5F7_basal
P53_P53_HUMAN.H11MO.0.A	chr20:64229662-64229682	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr8:40517963-40517983	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr1:109274615-109274635	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr14:35046996-35047016	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr18:59690870-59690890	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr6:14744096-14744116	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr9:105901910-105901930	PU24GB8_lumB
P53_P53_HUMAN.H11MO.0.A	chr10:113099487-113099507	ANAB5F7_basal
P53_P53_HUMAN.H11MO.0.A	chr6:31142160-31142180	ANAB5F7_basal
P53_P53_HUMAN.H11MO.0.A	chr10:62451302-62451322	2GAMBDQ_norm
P53_P53_HUMAN.H11MO.0.A	chr17:42017930-42017950	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr16:81165910-81165930	98JKPD8_lumA
P53_P53_HUMAN.H11MO.0.A	chr12:1563597-1563617	ANAB5F7_basal
P53_P53_HUMAN.H11MO.0.A	chr6:52352559-52352579	ANAB5F7_basal
