motif_id	region_id	sample_id
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr5:119268536-119268548	98JKPD8_lumA
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr8:123417209-123417221	S6R691V_her2
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr15:31216472-31216484	2GAMBDQ_norm
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr12:124904725-124904737	98JKPD8_lumA
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr9:93223429-93223441	2GAMBDQ_norm
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr1:109181158-109181170	S6R691V_her2
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr10:59789088-59789100	2GAMBDQ_norm
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr9:127928124-127928136	2GAMBDQ_norm
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr2:84920441-84920453	ANAB5F7_basal
NR2C2_NR2C2_HUMAN.H11MO.0.B	chr6:29762862-29762874	ANAB5F7_basal
