motif_id	region_id	sample_id
USF1_M07809_2.00	chr1:26432110-26432125	ANAB5F7_basal
USF1_M07809_2.00	chr2:45650226-45650241	98JKPD8_lumA
USF1_M07809_2.00	chr4:17614585-17614600	98JKPD8_lumA
USF1_M07809_2.00	chr16:56344694-56344709	98JKPD8_lumA
USF1_M07809_2.00	chr19:43182508-43182523	ANAB5F7_basal
USF1_M07809_2.00	chr6:24865088-24865103	ANAB5F7_basal
USF1_M07809_2.00	chr17:68735105-68735120	ANAB5F7_basal
USF1_M07809_2.00	chr3:50157209-50157224	98JKPD8_lumA
USF1_M07809_2.00	chr2:26011885-26011900	98JKPD8_lumA
USF1_M07809_2.00	chr10:673617-673632	2GAMBDQ_norm
