motif_id	region_id	sample_id
NFYB_M08178_2.00	chr19:8832663-8832678	ANAB5F7_basal
NFYB_M08178_2.00	chr21:39312460-39312475	PU24GB8_lumB
NFYB_M08178_2.00	chr2:216012217-216012232	98JKPD8_lumA
NFYB_M08178_2.00	chr6:31815972-31815987	ANAB5F7_basal
NFYB_M08178_2.00	chr4:159010659-159010674	ANAB5F7_basal
NFYB_M08178_2.00	chr1:246805403-246805418	2GAMBDQ_norm
NFYB_M08178_2.00	chr1:7549442-7549457	98JKPD8_lumA
NFYB_M08178_2.00	chr20:695247-695262	ANAB5F7_basal
NFYB_M08178_2.00	chr17:1180070-1180085	98JKPD8_lumA
NFYB_M08178_2.00	chr7:28986072-28986087	98JKPD8_lumA
