motif_id	region_id	sample_id
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr19:18636874-18636893	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr1:119711908-119711927	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr19:10654181-10654200	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr19:56121398-56121417	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr16:53503241-53503260	S6R691V_her2
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr19:14518473-14518492	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr16:21502552-21502571	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr19:3337128-3337147	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr11:3477206-3477225	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr15:97960855-97960874	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr6:31272224-31272243	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr11:61429980-61429999	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr19:58347698-58347717	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr7:22854359-22854378	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr2:20452631-20452650	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr17:48107553-48107572	S6R691V_her2
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr14:35046387-35046406	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr6:95577468-95577487	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr10:74827022-74827041	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr11:3477234-3477253	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr2:170928903-170928922	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr8:37841676-37841695	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr3:140680353-140680372	2GAMBDQ_norm
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr14:77028983-77029002	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr11:34621169-34621188	S6R691V_her2
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr7:22821916-22821935	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr2:208266239-208266258	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr16:16022164-16022183	S6R691V_her2
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr8:19415241-19415260	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr11:844046-844065	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr3:127304356-127304375	S6R691V_her2
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr16:57372937-57372956	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr1:1324771-1324790	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr22:46116638-46116657	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr15:93048892-93048911	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr10:73874627-73874646	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr16:1794586-1794605	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr1:54488365-54488384	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr2:234502415-234502434	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr4:56908282-56908301	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr3:136195864-136195883	98JKPD8_lumA
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr9:104928241-104928260	ANAB5F7_basal
ZBT17_ZBT17_HUMAN.H11MO.0.A	chr19:35067004-35067023	ANAB5F7_basal
