motif_id	region_id	sample_id
TFDP1_M08108_2.00	chr1:977015-977026	2GAMBDQ_norm
TFDP1_M08108_2.00	chr3:40309640-40309651	2GAMBDQ_norm
TFDP1_M08108_2.00	chr10:73997814-73997825	98JKPD8_lumA
TFDP1_M08108_2.00	chr1:207751839-207751850	ANAB5F7_basal
TFDP1_M08108_2.00	chr9:69760050-69760061	2GAMBDQ_norm
TFDP1_M08108_2.00	chr2:232697484-232697495	PU24GB8_lumB
TFDP1_M08108_2.00	chr17:31549908-31549919	PU24GB8_lumB
TFDP1_M08108_2.00	chr15:97960863-97960874	98JKPD8_lumA
TFDP1_M08108_2.00	chr3:134486384-134486395	ANAB5F7_basal
TFDP1_M08108_2.00	chr8:56320177-56320188	2GAMBDQ_norm
TFDP1_M08108_2.00	chr9:6080406-6080417	ANAB5F7_basal
TFDP1_M08108_2.00	chr22:46738248-46738259	PU24GB8_lumB
TFDP1_M08108_2.00	chr9:111525169-111525180	2GAMBDQ_norm
TFDP1_M08108_2.00	chr1:39788848-39788859	2GAMBDQ_norm
TFDP1_M08108_2.00	chr8:17801485-17801496	2GAMBDQ_norm
