motif_id	region_id	sample_id
KLF3_KLF3_HUMAN.H11MO.0.B	chr19:18636872-18636891	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr8:142777361-142777380	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr1:230910353-230910372	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr6:31739952-31739971	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr11:74493207-74493226	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr1:165598316-165598335	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr19:56121402-56121421	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr1:32964936-32964955	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr17:8156861-8156880	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr16:21502553-21502572	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr11:119018398-119018417	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr2:208266223-208266242	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr19:3337126-3337145	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr10:73997808-73997827	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr11:61429978-61429997	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr8:126876834-126876853	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr3:184017482-184017501	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr2:44167953-44167972	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr16:71884272-71884291	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr20:63739534-63739553	S6R691V_her2
KLF3_KLF3_HUMAN.H11MO.0.B	chr7:111562443-111562462	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr15:97960857-97960876	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr6:95577472-95577491	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr19:56121316-56121335	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr19:35644368-35644387	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr2:170928907-170928926	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr3:9397384-9397403	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr9:6080404-6080423	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr3:195271295-195271314	ANAB5F7_basal
KLF3_KLF3_HUMAN.H11MO.0.B	chr2:17878643-17878662	98JKPD8_lumA
KLF3_KLF3_HUMAN.H11MO.0.B	chr11:236467-236486	ANAB5F7_basal
