motif_id	region_id	sample_id
CEBPB_M07830_2.00	chr20:17722197-17722211	98JKPD8_lumA
CEBPB_M07830_2.00	chr10:119001231-119001245	S6R691V_her2
CEBPB_M07830_2.00	chr8:94934027-94934041	PU24GB8_lumB
CEBPB_M07830_2.00	chr1:84772518-84772532	98JKPD8_lumA
CEBPB_M07830_2.00	chr21:43516945-43516959	98JKPD8_lumA
CEBPB_M07830_2.00	chr7:38703124-38703138	2GAMBDQ_norm
CEBPB_M07830_2.00	chr1:222738616-222738630	ANAB5F7_basal
CEBPB_M07830_2.00	chr4:165086113-165086127	ANAB5F7_basal
CEBPB_M07830_2.00	chr4:140333201-140333215	S6R691V_her2
CEBPB_M07830_2.00	chr15:99733936-99733950	ANAB5F7_basal
CEBPB_M07830_2.00	chr8:120861598-120861612	ANAB5F7_basal
CEBPB_M07830_2.00	chr6:15755861-15755875	ANAB5F7_basal
