motif_id	region_id	sample_id
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr8:142777366-142777388	ANAB5F7_basal
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr1:119711906-119711928	ANAB5F7_basal
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr19:56121401-56121423	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr19:10654175-10654197	ANAB5F7_basal
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr19:14518470-14518492	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr16:21502550-21502572	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr19:3337122-3337144	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr6:31739950-31739972	ANAB5F7_basal
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr16:15154844-15154866	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr19:55654099-55654121	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr17:47987550-47987572	S6R691V_her2
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr21:39312494-39312516	PU24GB8_lumB
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr14:49620631-49620653	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr20:62122374-62122396	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr1:9473161-9473183	S6R691V_her2
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr11:61429977-61429999	ANAB5F7_basal
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr3:140680356-140680378	2GAMBDQ_norm
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr3:9397383-9397405	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr7:22854355-22854377	ANAB5F7_basal
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr5:132294348-132294370	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr6:95577471-95577493	ANAB5F7_basal
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr10:74827022-74827044	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr3:42490437-42490459	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr12:123584555-123584577	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr1:1324783-1324805	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr5:90409917-90409939	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr17:17042432-17042454	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr9:32526227-32526249	98JKPD8_lumA
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr12:48956669-48956691	S6R691V_her2
VEZF1_VEZF1_HUMAN.H11MO.0.C	chr16:16022162-16022184	S6R691V_her2
