motif_id	region_id	sample_id
MEF2C_MA0497.1	chr1:72896011-72896026	2GAMBDQ_norm
MEF2C_MA0497.1	chr8:16115429-16115444	2GAMBDQ_norm
MEF2C_MA0497.1	chr6:32668352-32668367	98JKPD8_lumA
MEF2C_MA0497.1	chr2:24971251-24971266	98JKPD8_lumA
MEF2C_MA0497.1	chr20:48227512-48227527	98JKPD8_lumA
MEF2C_MA0497.1	chr8:12936756-12936771	98JKPD8_lumA
MEF2C_MA0497.1	chr18:7272536-7272551	98JKPD8_lumA
MEF2C_MA0497.1	chr16:8679483-8679498	98JKPD8_lumA
MEF2C_MA0497.1	chr16:50147348-50147363	ANAB5F7_basal
MEF2C_MA0497.1	chr3:69406468-69406483	ANAB5F7_basal
MEF2C_MA0497.1	chrX:114978855-114978870	2GAMBDQ_norm
MEF2C_MA0497.1	chr11:78564684-78564699	98JKPD8_lumA
MEF2C_MA0497.1	chr14:61359669-61359684	98JKPD8_lumA
MEF2C_MA0497.1	chr10:15343806-15343821	2GAMBDQ_norm
MEF2C_MA0497.1	chr16:749169-749184	2GAMBDQ_norm
MEF2C_MA0497.1	chr18:42379104-42379119	2GAMBDQ_norm
MEF2C_MA0497.1	chr1:45001561-45001576	2GAMBDQ_norm
MEF2C_MA0497.1	chr4:144748740-144748755	2GAMBDQ_norm
MEF2C_MA0497.1	chr8:38760025-38760040	98JKPD8_lumA
MEF2C_MA0497.1	chr11:3499699-3499714	98JKPD8_lumA
MEF2C_MA0497.1	chr4:147287463-147287478	ANAB5F7_basal
MEF2C_MA0497.1	chr10:98958549-98958564	PU24GB8_lumB
MEF2C_MA0497.1	chr1:242129384-242129399	S6R691V_her2
MEF2C_MA0497.1	chr22:44753390-44753405	98JKPD8_lumA
MEF2C_MA0497.1	chr21:33196995-33197010	98JKPD8_lumA
