motif_id	region_id	sample_id
RXRA_RXRA_HUMAN.H11MO.0.A	chr16:21502553-21502573	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr6:32972104-32972124	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr19:55654098-55654118	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr17:50533800-50533820	S6R691V_her2
RXRA_RXRA_HUMAN.H11MO.0.A	chr19:56121590-56121610	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr19:56121322-56121342	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr10:16966412-16966432	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr11:85628321-85628341	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr6:95577465-95577485	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr11:844054-844074	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr22:46116645-46116665	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr14:49633947-49633967	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr20:32483621-32483641	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr16:86798807-86798827	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr15:93048898-93048918	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr11:555215-555235	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr3:127304359-127304379	S6R691V_her2
RXRA_RXRA_HUMAN.H11MO.0.A	chr6:53869980-53870000	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr7:73822377-73822397	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr18:47749261-47749281	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr3:136195867-136195887	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr16:1408255-1408275	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr7:73842633-73842653	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr9:128159750-128159770	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr7:30595038-30595058	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr12:131929167-131929187	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr2:112588924-112588944	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr5:115296709-115296729	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr1:191420255-191420275	2GAMBDQ_norm
RXRA_RXRA_HUMAN.H11MO.0.A	chr12:57094025-57094045	PU24GB8_lumB
RXRA_RXRA_HUMAN.H11MO.0.A	chr1:193058852-193058872	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr6:20404185-20404205	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr9:129497301-129497321	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr5:177497006-177497026	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr21:43728426-43728446	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr7:32477201-32477221	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr19:55600438-55600458	S6R691V_her2
RXRA_RXRA_HUMAN.H11MO.0.A	chr1:23778339-23778359	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr2:109146833-109146853	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr10:133261688-133261708	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr12:1562849-1562869	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr12:124904720-124904740	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr18:35267468-35267488	2GAMBDQ_norm
RXRA_RXRA_HUMAN.H11MO.0.A	chr2:219387551-219387571	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr8:23105232-23105252	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr19:21787565-21787585	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr22:49966878-49966898	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr4:76641374-76641394	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr1:74432430-74432450	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr8:126425754-126425774	S6R691V_her2
RXRA_RXRA_HUMAN.H11MO.0.A	chr3:45688624-45688644	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr1:54836246-54836266	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr17:2816030-2816050	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr1:10796451-10796471	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr12:131912657-131912677	2GAMBDQ_norm
RXRA_RXRA_HUMAN.H11MO.0.A	chr13:18874913-18874933	2GAMBDQ_norm
RXRA_RXRA_HUMAN.H11MO.0.A	chr18:23259662-23259682	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr8:94373356-94373376	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr10:26438706-26438726	S6R691V_her2
RXRA_RXRA_HUMAN.H11MO.0.A	chr17:8248913-8248933	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr10:59709770-59709790	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr10:110804056-110804076	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr20:4162365-4162385	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr10:43077491-43077511	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr19:10928164-10928184	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr9:93115782-93115802	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr1:1360014-1360034	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr13:36996040-36996060	2GAMBDQ_norm
RXRA_RXRA_HUMAN.H11MO.0.A	chr2:235444983-235445003	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr13:72199188-72199208	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr13:112711915-112711935	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr7:101154866-101154886	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr8:22756286-22756306	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr6:29762859-29762879	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr12:112907442-112907462	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr19:3338879-3338899	98JKPD8_lumA
RXRA_RXRA_HUMAN.H11MO.0.A	chr22:50697109-50697129	ANAB5F7_basal
RXRA_RXRA_HUMAN.H11MO.0.A	chr5:10018166-10018186	PU24GB8_lumB
