motif_id	region_id	sample_id
FOSL2_M07812_2.00	chr22:25110809-25110823	98JKPD8_lumA
FOSL2_M07812_2.00	chr13:44108583-44108597	98JKPD8_lumA
FOSL2_M07812_2.00	chr7:55074205-55074219	ANAB5F7_basal
FOSL2_M07812_2.00	chr1:9115128-9115142	ANAB5F7_basal
FOSL2_M07812_2.00	chr12:52186276-52186290	ANAB5F7_basal
FOSL2_M07812_2.00	chr11:11218916-11218930	98JKPD8_lumA
FOSL2_M07812_2.00	chr17:66275862-66275876	S6R691V_her2
FOSL2_M07812_2.00	chr16:78072638-78072652	S6R691V_her2
FOSL2_M07812_2.00	chr19:20665067-20665081	ANAB5F7_basal
FOSL2_M07812_2.00	chr18:62851120-62851134	98JKPD8_lumA
