motif_id	region_id	sample_id
PRDM1_MA0508.3	chr11:83285937-83285948	ANAB5F7_basal
PRDM1_MA0508.3	chr1:224503128-224503139	ANAB5F7_basal
PRDM1_MA0508.3	chr6:32666372-32666383	ANAB5F7_basal
PRDM1_MA0508.3	chr2:227466792-227466803	S6R691V_her2
PRDM1_MA0508.3	chr13:73249007-73249018	ANAB5F7_basal
PRDM1_MA0508.3	chr2:195601073-195601084	98JKPD8_lumA
PRDM1_MA0508.3	chr6:25226407-25226418	ANAB5F7_basal
PRDM1_MA0508.3	chr14:99596006-99596017	98JKPD8_lumA
PRDM1_MA0508.3	chr1:22412948-22412959	98JKPD8_lumA
PRDM1_MA0508.3	chr6:150204058-150204069	ANAB5F7_basal
PRDM1_MA0508.3	chr18:59685536-59685547	98JKPD8_lumA
PRDM1_MA0508.3	chr2:129437455-129437466	ANAB5F7_basal
PRDM1_MA0508.3	chr1:84019820-84019831	S6R691V_her2
