motif_id	region_id	sample_id
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr1:208205273-208205285	2GAMBDQ_norm
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr8:18676999-18677011	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr6:31272279-31272291	ANAB5F7_basal
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr21:28214897-28214909	S6R691V_her2
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr3:190306664-190306676	ANAB5F7_basal
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr10:9066344-9066356	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr12:1562847-1562859	ANAB5F7_basal
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr9:133889724-133889736	2GAMBDQ_norm
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr1:236523041-236523053	PU24GB8_lumB
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr1:188770064-188770076	2GAMBDQ_norm
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr6:31129402-31129414	ANAB5F7_basal
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr7:149422184-149422196	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr15:98693271-98693283	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr1:66286521-66286533	S6R691V_her2
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr4:88319002-88319014	2GAMBDQ_norm
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr10:101060486-101060498	S6R691V_her2
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr12:106234743-106234755	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr18:50878598-50878610	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr3:125186291-125186303	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr9:977903-977915	ANAB5F7_basal
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr5:35305467-35305479	ANAB5F7_basal
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr10:110804344-110804356	98JKPD8_lumA
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr7:50681726-50681738	ANAB5F7_basal
FOXM1_FOXM1_HUMAN.H11MO.0.A	chr7:743554-743566	ANAB5F7_basal
