motif_id	region_id	sample_id
PBX3_PBX3_HUMAN.H11MO.0.A	chr1:85062283-85062294	98JKPD8_lumA
PBX3_PBX3_HUMAN.H11MO.0.A	chr12:13000836-13000847	98JKPD8_lumA
PBX3_PBX3_HUMAN.H11MO.0.A	chr1:117059706-117059717	ANAB5F7_basal
PBX3_PBX3_HUMAN.H11MO.0.A	chr11:69485653-69485664	PU24GB8_lumB
PBX3_PBX3_HUMAN.H11MO.0.A	chr11:19117634-19117645	ANAB5F7_basal
PBX3_PBX3_HUMAN.H11MO.0.A	chr1:180544179-180544190	98JKPD8_lumA
PBX3_PBX3_HUMAN.H11MO.0.A	chr8:33403290-33403301	ANAB5F7_basal
PBX3_PBX3_HUMAN.H11MO.0.A	chr6:24865096-24865107	ANAB5F7_basal
PBX3_PBX3_HUMAN.H11MO.0.A	chr17:41785884-41785895	98JKPD8_lumA
PBX3_PBX3_HUMAN.H11MO.0.A	chr1:84759164-84759175	98JKPD8_lumA
PBX3_PBX3_HUMAN.H11MO.0.A	chr1:112502256-112502267	98JKPD8_lumA
PBX3_PBX3_HUMAN.H11MO.0.A	chr11:12366369-12366380	S6R691V_her2
PBX3_PBX3_HUMAN.H11MO.0.A	chr20:59084064-59084075	ANAB5F7_basal
