motif_id	region_id	sample_id
ETV5_ETV5_HUMAN.H11MO.0.C	chr1:205543561-205543575	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr9:136555100-136555114	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr14:49620638-49620652	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr2:20452643-20452657	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:47987678-47987692	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr3:40453193-40453207	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr10:110434024-110434038	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr10:44975607-44975621	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:7558145-7558159	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr14:73852003-73852017	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr3:195260105-195260119	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr2:202912474-202912488	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr19:33821031-33821045	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr9:109120068-109120082	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr8:70217448-70217462	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr12:19129729-19129743	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr16:68276067-68276081	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr8:133357127-133357141	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:11279811-11279825	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:81082645-81082659	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:77383185-77383199	PU24GB8_lumB
ETV5_ETV5_HUMAN.H11MO.0.C	chr12:55926726-55926740	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr13:73254542-73254556	2GAMBDQ_norm
ETV5_ETV5_HUMAN.H11MO.0.C	chr15:74791929-74791943	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr11:39542225-39542239	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr4:1246659-1246673	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr1:181127234-181127248	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr14:91293509-91293523	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr20:56808227-56808241	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr8:131699475-131699489	PU24GB8_lumB
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:80025429-80025443	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:80901818-80901832	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr4:140450608-140450622	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr1:2015148-2015162	2GAMBDQ_norm
ETV5_ETV5_HUMAN.H11MO.0.C	chr10:110804060-110804074	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr6:43787045-43787059	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr11:115699812-115699826	2GAMBDQ_norm
ETV5_ETV5_HUMAN.H11MO.0.C	chr1:245116861-245116875	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr17:40499954-40499968	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr5:62413004-62413018	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr16:56607687-56607701	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr12:112907450-112907464	98JKPD8_lumA
ETV5_ETV5_HUMAN.H11MO.0.C	chr19:1658988-1659002	S6R691V_her2
ETV5_ETV5_HUMAN.H11MO.0.C	chr6:7975402-7975416	ANAB5F7_basal
ETV5_ETV5_HUMAN.H11MO.0.C	chr10:8049822-8049836	ANAB5F7_basal
