motif_id	region_id	sample_id
IKZF3_M08320_2.00	chr2:170928910-170928919	ANAB5F7_basal
IKZF3_M08320_2.00	chr10:80460838-80460847	ANAB5F7_basal
IKZF3_M08320_2.00	chr7:22821925-22821934	ANAB5F7_basal
IKZF3_M08320_2.00	chr6:4490268-4490277	S6R691V_her2
IKZF3_M08320_2.00	chr16:1794587-1794596	98JKPD8_lumA
IKZF3_M08320_2.00	chr1:1163438-1163447	98JKPD8_lumA
IKZF3_M08320_2.00	chr19:17405812-17405821	98JKPD8_lumA
IKZF3_M08320_2.00	chr3:50151451-50151460	98JKPD8_lumA
IKZF3_M08320_2.00	chr6:31367375-31367384	98JKPD8_lumA
IKZF3_M08320_2.00	chr21:43603352-43603361	ANAB5F7_basal
IKZF3_M08320_2.00	chr2:36820758-36820767	ANAB5F7_basal
IKZF3_M08320_2.00	chr7:137899208-137899217	ANAB5F7_basal
