motif_id	region_id	sample_id
YY1_M07860_2.00	chr11:20415675-20415690	98JKPD8_lumA
YY1_M07860_2.00	chr2:76314758-76314773	2GAMBDQ_norm
YY1_M07860_2.00	chr4:120948666-120948681	ANAB5F7_basal
YY1_M07860_2.00	chr4:119042183-119042198	98JKPD8_lumA
YY1_M07860_2.00	chr16:90093137-90093152	ANAB5F7_basal
YY1_M07860_2.00	chr10:9045217-9045232	98JKPD8_lumA
YY1_M07860_2.00	chr9:132406800-132406815	98JKPD8_lumA
YY1_M07860_2.00	chr6:33428530-33428545	98JKPD8_lumA
YY1_M07860_2.00	chr7:131061047-131061062	98JKPD8_lumA
YY1_M07860_2.00	chr21:39851968-39851983	S6R691V_her2
