motif_id	region_id	sample_id
ELF1_M07947_2.00	chr9:136555101-136555116	ANAB5F7_basal
ELF1_M07947_2.00	chr14:49620636-49620651	98JKPD8_lumA
ELF1_M07947_2.00	chr1:182391495-182391510	98JKPD8_lumA
ELF1_M07947_2.00	chr8:143355111-143355126	ANAB5F7_basal
ELF1_M07947_2.00	chr5:112921542-112921557	98JKPD8_lumA
ELF1_M07947_2.00	chr1:1375543-1375558	98JKPD8_lumA
ELF1_M07947_2.00	chr6:2841892-2841907	PU24GB8_lumB
ELF1_M07947_2.00	chr19:55675104-55675119	98JKPD8_lumA
ELF1_M07947_2.00	chr19:18571680-18571695	ANAB5F7_basal
ELF1_M07947_2.00	chr17:7558146-7558161	98JKPD8_lumA
ELF1_M07947_2.00	chr7:767998-768013	98JKPD8_lumA
ELF1_M07947_2.00	chr6:95577387-95577402	ANAB5F7_basal
ELF1_M07947_2.00	chr2:202912475-202912490	98JKPD8_lumA
ELF1_M07947_2.00	chr2:241735540-241735555	98JKPD8_lumA
ELF1_M07947_2.00	chr17:41529188-41529203	98JKPD8_lumA
ELF1_M07947_2.00	chr16:72008913-72008928	98JKPD8_lumA
ELF1_M07947_2.00	chr19:15779801-15779816	ANAB5F7_basal
ELF1_M07947_2.00	chr4:1246657-1246672	S6R691V_her2
ELF1_M07947_2.00	chr17:80025427-80025442	98JKPD8_lumA
ELF1_M07947_2.00	chr15:74791930-74791945	S6R691V_her2
