motif_id	region_id	sample_id
ZSCAN22_M08361_2.00	chr1:203305395-203305413	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr19:56121403-56121421	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr19:55599751-55599769	S6R691V_her2
ZSCAN22_M08361_2.00	chr16:21502553-21502571	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr19:3337127-3337145	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr16:15154849-15154867	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr17:47987551-47987569	S6R691V_her2
ZSCAN22_M08361_2.00	chr12:56042135-56042153	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr18:8990708-8990726	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr6:41941772-41941790	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr10:74827014-74827032	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr9:6080397-6080415	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr8:143355108-143355126	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr20:407963-407981	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr1:1324785-1324803	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr8:37841675-37841693	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr12:32106691-32106709	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr12:123584563-123584581	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr9:134068634-134068652	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr14:49633950-49633968	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr13:46894157-46894175	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr5:112921542-112921560	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr10:69408799-69408817	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr18:54269572-54269590	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr15:93048898-93048916	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr4:53644869-53644887	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr11:47924596-47924614	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr19:5905116-5905134	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr6:20404176-20404194	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr17:82986320-82986338	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr18:79751002-79751020	PU24GB8_lumB
ZSCAN22_M08361_2.00	chr22:50190021-50190039	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr17:36535224-36535242	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr19:18374439-18374457	PU24GB8_lumB
ZSCAN22_M08361_2.00	chr12:108562644-108562662	98JKPD8_lumA
ZSCAN22_M08361_2.00	chrX:119399333-119399351	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr7:20331770-20331788	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr5:177086853-177086871	S6R691V_her2
ZSCAN22_M08361_2.00	chr10:43076532-43076550	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr1:23778343-23778361	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr5:177497001-177497019	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr1:107686030-107686048	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr12:19129733-19129751	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr6:31356816-31356834	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr14:104715508-104715526	S6R691V_her2
ZSCAN22_M08361_2.00	chr1:208244297-208244315	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr1:25804687-25804705	S6R691V_her2
ZSCAN22_M08361_2.00	chr14:61107328-61107346	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr2:219387553-219387571	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr1:228372430-228372448	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr5:180353376-180353394	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr12:52208221-52208239	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr13:98143367-98143385	98JKPD8_lumA
ZSCAN22_M08361_2.00	chr6:29965137-29965155	ANAB5F7_basal
ZSCAN22_M08361_2.00	chr15:101655304-101655322	S6R691V_her2
ZSCAN22_M08361_2.00	chr5:159519476-159519494	ANAB5F7_basal
