motif_id	region_id	sample_id
NFE2_NFE2_HUMAN.H11MO.0.A	chr17:80900867-80900880	ANAB5F7_basal
NFE2_NFE2_HUMAN.H11MO.0.A	chr13:44108585-44108598	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr2:38515494-38515507	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr7:55074204-55074217	ANAB5F7_basal
NFE2_NFE2_HUMAN.H11MO.0.A	chr1:32716431-32716444	ANAB5F7_basal
NFE2_NFE2_HUMAN.H11MO.0.A	chr16:56344689-56344702	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr6:96738721-96738734	PU24GB8_lumB
NFE2_NFE2_HUMAN.H11MO.0.A	chr7:2758407-2758420	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr11:11218918-11218931	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr2:213153828-213153841	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr12:52186275-52186288	ANAB5F7_basal
NFE2_NFE2_HUMAN.H11MO.0.A	chr5:133612689-133612702	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr2:9812611-9812624	2GAMBDQ_norm
NFE2_NFE2_HUMAN.H11MO.0.A	chr5:16574198-16574211	98JKPD8_lumA
NFE2_NFE2_HUMAN.H11MO.0.A	chr5:78496636-78496649	2GAMBDQ_norm
NFE2_NFE2_HUMAN.H11MO.0.A	chr3:32045746-32045759	S6R691V_her2
NFE2_NFE2_HUMAN.H11MO.0.A	chr17:68735109-68735122	ANAB5F7_basal
NFE2_NFE2_HUMAN.H11MO.0.A	chr5:86239794-86239807	2GAMBDQ_norm
NFE2_NFE2_HUMAN.H11MO.0.A	chr1:181588766-181588779	ANAB5F7_basal
