motif_id	region_id	sample_id
ESR2_MA0258.2	chr17:80900871-80900886	ANAB5F7_basal
ESR2_MA0258.2	chr9:133210388-133210403	ANAB5F7_basal
ESR2_MA0258.2	chr6:49668098-49668113	S6R691V_her2
ESR2_MA0258.2	chr10:79070523-79070538	ANAB5F7_basal
ESR2_MA0258.2	chr11:2912368-2912383	S6R691V_her2
ESR2_MA0258.2	chr3:195270485-195270500	ANAB5F7_basal
ESR2_MA0258.2	chr12:10365405-10365420	ANAB5F7_basal
ESR2_MA0258.2	chr11:47924019-47924034	98JKPD8_lumA
ESR2_MA0258.2	chr9:114279007-114279022	ANAB5F7_basal
ESR2_MA0258.2	chr15:100464498-100464513	PU24GB8_lumB
ESR2_MA0258.2	chr11:76209385-76209400	ANAB5F7_basal
ESR2_MA0258.2	chr2:237683256-237683271	S6R691V_her2
ESR2_MA0258.2	chr6:3363892-3363907	S6R691V_her2
ESR2_MA0258.2	chr2:129437453-129437468	ANAB5F7_basal
ESR2_MA0258.2	chr1:229172235-229172250	98JKPD8_lumA
