motif_id	region_id	sample_id
HTF4_HTF4_HUMAN.H11MO.0.A	chr1:160463086-160463096	2GAMBDQ_norm
HTF4_HTF4_HUMAN.H11MO.0.A	chr7:155166870-155166880	S6R691V_her2
HTF4_HTF4_HUMAN.H11MO.0.A	chr17:80900999-80901009	ANAB5F7_basal
HTF4_HTF4_HUMAN.H11MO.0.A	chr1:151511739-151511749	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr11:67670402-67670412	S6R691V_her2
HTF4_HTF4_HUMAN.H11MO.0.A	chr9:133210389-133210399	ANAB5F7_basal
HTF4_HTF4_HUMAN.H11MO.0.A	chr19:40921629-40921639	PU24GB8_lumB
HTF4_HTF4_HUMAN.H11MO.0.A	chr5:178078011-178078021	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr2:88627209-88627219	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr8:37460621-37460631	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr1:43935711-43935721	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr1:46517188-46517198	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr19:6737493-6737503	ANAB5F7_basal
HTF4_HTF4_HUMAN.H11MO.0.A	chr3:42988836-42988846	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr5:177930565-177930575	S6R691V_her2
HTF4_HTF4_HUMAN.H11MO.0.A	chr19:17405814-17405824	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr8:22757862-22757872	2GAMBDQ_norm
HTF4_HTF4_HUMAN.H11MO.0.A	chr1:33877144-33877154	ANAB5F7_basal
HTF4_HTF4_HUMAN.H11MO.0.A	chr1:46021601-46021611	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr19:29694784-29694794	ANAB5F7_basal
HTF4_HTF4_HUMAN.H11MO.0.A	chr17:386648-386658	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr10:112446991-112447001	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr16:66026319-66026329	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr6:168396197-168396207	98JKPD8_lumA
HTF4_HTF4_HUMAN.H11MO.0.A	chr1:115222981-115222991	ANAB5F7_basal
HTF4_HTF4_HUMAN.H11MO.0.A	chr14:55547166-55547176	S6R691V_her2
HTF4_HTF4_HUMAN.H11MO.0.A	chr14:102949373-102949383	98JKPD8_lumA
