motif_id	region_id	sample_id
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr9:128128163-128128177	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:26432098-26432112	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr15:99733404-99733418	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr15:99057790-99057804	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:46517185-46517199	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr5:178078010-178078024	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr8:37460620-37460634	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:43935708-43935722	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr11:2912370-2912384	S6R691V_her2
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:38959812-38959826	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:18132898-18132912	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr3:50157209-50157223	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr17:50845855-50845869	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr8:22757861-22757875	2GAMBDQ_norm
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr10:43255077-43255091	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:172450474-172450488	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr1:46021598-46021612	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr19:45295114-45295128	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr6:41688979-41688993	ANAB5F7_basal
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr21:29509797-29509811	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr15:88648462-88648476	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr14:23183487-23183501	98JKPD8_lumA
ASCL1_ASCL1_HUMAN.H11MO.0.A	chr12:130646320-130646334	PU24GB8_lumB
