motif_id	region_id	sample_id
ELK4_ELK4_HUMAN.H11MO.0.A	chr11:3477215-3477227	98JKPD8_lumA
ELK4_ELK4_HUMAN.H11MO.0.A	chr8:143355114-143355126	ANAB5F7_basal
ELK4_ELK4_HUMAN.H11MO.0.A	chr5:112921542-112921554	98JKPD8_lumA
ELK4_ELK4_HUMAN.H11MO.0.A	chr19:55675107-55675119	98JKPD8_lumA
ELK4_ELK4_HUMAN.H11MO.0.A	chr19:18571683-18571695	ANAB5F7_basal
ELK4_ELK4_HUMAN.H11MO.0.A	chr7:768001-768013	98JKPD8_lumA
ELK4_ELK4_HUMAN.H11MO.0.A	chr5:179907854-179907866	PU24GB8_lumB
ELK4_ELK4_HUMAN.H11MO.0.A	chr8:118620947-118620959	98JKPD8_lumA
ELK4_ELK4_HUMAN.H11MO.0.A	chr7:64666338-64666350	98JKPD8_lumA
ELK4_ELK4_HUMAN.H11MO.0.A	chr1:10794512-10794524	98JKPD8_lumA
ELK4_ELK4_HUMAN.H11MO.0.A	chr4:1246660-1246672	S6R691V_her2
