motif_id	region_id	sample_id
ZFX_ZFX_HUMAN.H11MO.0.A	chr1:182391707-182391717	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr8:142777361-142777371	ANAB5F7_basal
ZFX_ZFX_HUMAN.H11MO.0.A	chr7:54665010-54665020	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr19:2475289-2475299	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr11:65027438-65027448	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr2:169479505-169479515	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr5:80654690-80654700	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr1:111204074-111204084	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr19:12551105-12551115	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr11:1574725-1574735	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr8:100125860-100125870	PU24GB8_lumB
ZFX_ZFX_HUMAN.H11MO.0.A	chr1:201946589-201946599	2GAMBDQ_norm
ZFX_ZFX_HUMAN.H11MO.0.A	chr4:183444200-183444210	98JKPD8_lumA
ZFX_ZFX_HUMAN.H11MO.0.A	chr22:31269916-31269926	PU24GB8_lumB
ZFX_ZFX_HUMAN.H11MO.0.A	chr2:13745507-13745517	2GAMBDQ_norm
