motif_id	region_id	sample_id
GCR_GCR_HUMAN.H11MO.0.A	chr17:369759-369774	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr6:161435088-161435103	ANAB5F7_basal
GCR_GCR_HUMAN.H11MO.0.A	chr14:73852919-73852934	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr2:182716601-182716616	ANAB5F7_basal
GCR_GCR_HUMAN.H11MO.0.A	chr10:118769319-118769334	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr2:223230451-223230466	2GAMBDQ_norm
GCR_GCR_HUMAN.H11MO.0.A	chr8:143741732-143741747	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr17:17567393-17567408	ANAB5F7_basal
GCR_GCR_HUMAN.H11MO.0.A	chr3:21802379-21802394	2GAMBDQ_norm
GCR_GCR_HUMAN.H11MO.0.A	chr1:40848680-40848695	ANAB5F7_basal
GCR_GCR_HUMAN.H11MO.0.A	chr11:3124508-3124523	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr15:80419167-80419182	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr6:3363892-3363907	S6R691V_her2
GCR_GCR_HUMAN.H11MO.0.A	chr10:128929998-128930013	ANAB5F7_basal
GCR_GCR_HUMAN.H11MO.0.A	chr3:30402163-30402178	S6R691V_her2
GCR_GCR_HUMAN.H11MO.0.A	chr1:10556170-10556185	PU24GB8_lumB
GCR_GCR_HUMAN.H11MO.0.A	chr22:45834061-45834076	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr5:149130668-149130683	98JKPD8_lumA
GCR_GCR_HUMAN.H11MO.0.A	chr11:69534098-69534113	98JKPD8_lumA
