motif_id	region_id	sample_id
ZNF33B_M07710_2.00	chr2:144644433-144644454	2GAMBDQ_norm
ZNF33B_M07710_2.00	chr9:136841993-136842014	S6R691V_her2
ZNF33B_M07710_2.00	chr9:136903531-136903552	98JKPD8_lumA
ZNF33B_M07710_2.00	chr1:172447709-172447730	ANAB5F7_basal
ZNF33B_M07710_2.00	chr1:180522658-180522679	98JKPD8_lumA
ZNF33B_M07710_2.00	chr19:13637153-13637174	98JKPD8_lumA
ZNF33B_M07710_2.00	chr13:54210900-54210921	2GAMBDQ_norm
ZNF33B_M07710_2.00	chr14:91535124-91535145	S6R691V_her2
ZNF33B_M07710_2.00	chr19:13151500-13151521	ANAB5F7_basal
ZNF33B_M07710_2.00	chr7:42832776-42832797	2GAMBDQ_norm
ZNF33B_M07710_2.00	chr12:80130240-80130261	ANAB5F7_basal
ZNF33B_M07710_2.00	chr2:46989629-46989650	ANAB5F7_basal
ZNF33B_M07710_2.00	chr9:133889726-133889747	2GAMBDQ_norm
ZNF33B_M07710_2.00	chr5:65927273-65927294	98JKPD8_lumA
ZNF33B_M07710_2.00	chr7:131061912-131061933	98JKPD8_lumA
ZNF33B_M07710_2.00	chr21:43603351-43603372	ANAB5F7_basal
ZNF33B_M07710_2.00	chr8:38512305-38512326	98JKPD8_lumA
ZNF33B_M07710_2.00	chr12:88417404-88417425	PU24GB8_lumB
ZNF33B_M07710_2.00	chr10:13700863-13700884	ANAB5F7_basal
ZNF33B_M07710_2.00	chr11:61151659-61151680	S6R691V_her2
ZNF33B_M07710_2.00	chr1:184829478-184829499	ANAB5F7_basal
ZNF33B_M07710_2.00	chr13:63026113-63026134	ANAB5F7_basal
ZNF33B_M07710_2.00	chr22:30045834-30045855	ANAB5F7_basal
ZNF33B_M07710_2.00	chr5:173707007-173707028	98JKPD8_lumA
ZNF33B_M07710_2.00	chr13:72187594-72187615	98JKPD8_lumA
ZNF33B_M07710_2.00	chr16:749162-749183	2GAMBDQ_norm
ZNF33B_M07710_2.00	chr2:203544587-203544608	98JKPD8_lumA
ZNF33B_M07710_2.00	chr2:67500014-67500035	98JKPD8_lumA
ZNF33B_M07710_2.00	chr8:36582880-36582901	ANAB5F7_basal
ZNF33B_M07710_2.00	chr1:94863518-94863539	98JKPD8_lumA
ZNF33B_M07710_2.00	chr8:125278981-125279002	S6R691V_her2
ZNF33B_M07710_2.00	chr8:31286375-31286396	ANAB5F7_basal
ZNF33B_M07710_2.00	chr18:62936247-62936268	98JKPD8_lumA
