motif_id	region_id	sample_id
BCL11A_M07926_2.00	chr6:31272229-31272244	ANAB5F7_basal
BCL11A_M07926_2.00	chr9:109120069-109120084	ANAB5F7_basal
BCL11A_M07926_2.00	chr11:87000442-87000457	98JKPD8_lumA
BCL11A_M07926_2.00	chr8:70217446-70217461	ANAB5F7_basal
BCL11A_M07926_2.00	chr19:40190604-40190619	ANAB5F7_basal
BCL11A_M07926_2.00	chr1:147541092-147541107	98JKPD8_lumA
BCL11A_M07926_2.00	chr17:81082649-81082664	98JKPD8_lumA
BCL11A_M07926_2.00	chr20:48227519-48227534	98JKPD8_lumA
BCL11A_M07926_2.00	chr19:10653515-10653530	ANAB5F7_basal
BCL11A_M07926_2.00	chr20:11767077-11767092	ANAB5F7_basal
BCL11A_M07926_2.00	chr1:224503122-224503137	ANAB5F7_basal
BCL11A_M07926_2.00	chr5:134436373-134436388	98JKPD8_lumA
BCL11A_M07926_2.00	chr10:110804058-110804073	98JKPD8_lumA
BCL11A_M07926_2.00	chr1:1360010-1360025	98JKPD8_lumA
BCL11A_M07926_2.00	chr8:117972176-117972191	98JKPD8_lumA
BCL11A_M07926_2.00	chr9:22052726-22052741	ANAB5F7_basal
BCL11A_M07926_2.00	chr2:160629274-160629289	ANAB5F7_basal
BCL11A_M07926_2.00	chr16:9008522-9008537	98JKPD8_lumA
BCL11A_M07926_2.00	chr4:5012638-5012653	2GAMBDQ_norm
BCL11A_M07926_2.00	chr11:12248336-12248351	98JKPD8_lumA
BCL11A_M07926_2.00	chr14:23630152-23630167	98JKPD8_lumA
BCL11A_M07926_2.00	chr4:41130060-41130075	98JKPD8_lumA
BCL11A_M07926_2.00	chr3:2867672-2867687	PU24GB8_lumB
BCL11A_M07926_2.00	chr9:96413849-96413864	ANAB5F7_basal
BCL11A_M07926_2.00	chr2:86227569-86227584	2GAMBDQ_norm
BCL11A_M07926_2.00	chr20:33412531-33412546	PU24GB8_lumB
BCL11A_M07926_2.00	chr6:151960445-151960460	98JKPD8_lumA
BCL11A_M07926_2.00	chr7:116355396-116355411	2GAMBDQ_norm
BCL11A_M07926_2.00	chr13:112913596-112913611	PU24GB8_lumB
BCL11A_M07926_2.00	chr14:50339515-50339530	98JKPD8_lumA
BCL11A_M07926_2.00	chr16:8660869-8660884	98JKPD8_lumA
