motif_id	region_id	sample_id
PRGR_PRGR_HUMAN.H11MO.0.A	chr10:80688770-80688786	98JKPD8_lumA
PRGR_PRGR_HUMAN.H11MO.0.A	chr2:182716601-182716617	ANAB5F7_basal
PRGR_PRGR_HUMAN.H11MO.0.A	chr1:66930525-66930541	98JKPD8_lumA
PRGR_PRGR_HUMAN.H11MO.0.A	chr1:119542869-119542885	S6R691V_her2
PRGR_PRGR_HUMAN.H11MO.0.A	chr12:3300211-3300227	ANAB5F7_basal
PRGR_PRGR_HUMAN.H11MO.0.A	chr10:118769318-118769334	98JKPD8_lumA
PRGR_PRGR_HUMAN.H11MO.0.A	chr2:5941376-5941392	S6R691V_her2
PRGR_PRGR_HUMAN.H11MO.0.A	chr11:3124508-3124524	98JKPD8_lumA
PRGR_PRGR_HUMAN.H11MO.0.A	chr3:21802379-21802395	2GAMBDQ_norm
PRGR_PRGR_HUMAN.H11MO.0.A	chr6:4938084-4938100	S6R691V_her2
PRGR_PRGR_HUMAN.H11MO.0.A	chr8:86039900-86039916	ANAB5F7_basal
PRGR_PRGR_HUMAN.H11MO.0.A	chr15:80419166-80419182	98JKPD8_lumA
PRGR_PRGR_HUMAN.H11MO.0.A	chr10:128929998-128930014	ANAB5F7_basal
PRGR_PRGR_HUMAN.H11MO.0.A	chr3:30402163-30402179	S6R691V_her2
PRGR_PRGR_HUMAN.H11MO.0.A	chr22:45834061-45834077	98JKPD8_lumA
PRGR_PRGR_HUMAN.H11MO.0.A	chr5:149130667-149130683	98JKPD8_lumA
PRGR_PRGR_HUMAN.H11MO.0.A	chr1:10556169-10556185	PU24GB8_lumB
PRGR_PRGR_HUMAN.H11MO.0.A	chr3:10601196-10601212	2GAMBDQ_norm
