motif_id	region_id	sample_id
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr1:72896014-72896028	2GAMBDQ_norm
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr7:80238149-80238163	S6R691V_her2
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr10:22599011-22599025	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr12:89918926-89918940	PU24GB8_lumB
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr2:24971254-24971268	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr20:48227515-48227529	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr16:50147346-50147360	ANAB5F7_basal
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr14:61359667-61359681	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr10:15343809-15343823	2GAMBDQ_norm
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr20:34272044-34272058	2GAMBDQ_norm
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr18:42379102-42379116	2GAMBDQ_norm
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr12:88417399-88417413	PU24GB8_lumB
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr21:43827514-43827528	ANAB5F7_basal
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr1:77533777-77533791	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr4:144748743-144748757	2GAMBDQ_norm
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr1:45001559-45001573	2GAMBDQ_norm
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr8:38760023-38760037	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr2:202008470-202008484	2GAMBDQ_norm
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr1:202048266-202048280	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr10:98958552-98958566	PU24GB8_lumB
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr1:242129382-242129396	S6R691V_her2
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr20:20079426-20079440	98JKPD8_lumA
MEF2B_MEF2B_HUMAN.H11MO.0.A	chr22:44753388-44753402	98JKPD8_lumA
