motif_id	region_id	sample_id
ZFP69_M07686_2.00	chr10:44975602-44975620	ANAB5F7_basal
ZFP69_M07686_2.00	chr1:182382482-182382500	98JKPD8_lumA
ZFP69_M07686_2.00	chr11:119102389-119102407	98JKPD8_lumA
ZFP69_M07686_2.00	chr11:35326377-35326395	98JKPD8_lumA
ZFP69_M07686_2.00	chr5:43009873-43009891	ANAB5F7_basal
ZFP69_M07686_2.00	chr21:41779408-41779426	S6R691V_her2
ZFP69_M07686_2.00	chr2:31286487-31286505	ANAB5F7_basal
ZFP69_M07686_2.00	chr4:6751556-6751574	98JKPD8_lumA
ZFP69_M07686_2.00	chr17:2375299-2375317	98JKPD8_lumA
ZFP69_M07686_2.00	chr17:385487-385505	98JKPD8_lumA
ZFP69_M07686_2.00	chr1:245116851-245116869	98JKPD8_lumA
ZFP69_M07686_2.00	chr12:53867802-53867820	98JKPD8_lumA
ZFP69_M07686_2.00	chr12:97247799-97247817	ANAB5F7_basal
ZFP69_M07686_2.00	chr11:75723258-75723276	ANAB5F7_basal
ZFP69_M07686_2.00	chr5:10018165-10018183	PU24GB8_lumB
ZFP69_M07686_2.00	chr2:235444986-235445004	98JKPD8_lumA
ZFP69_M07686_2.00	chr9:76621247-76621265	98JKPD8_lumA
ZFP69_M07686_2.00	chr19:40225571-40225589	ANAB5F7_basal
ZFP69_M07686_2.00	chr17:35433177-35433195	98JKPD8_lumA
ZFP69_M07686_2.00	chr6:11236434-11236452	ANAB5F7_basal
ZFP69_M07686_2.00	chr19:3369876-3369894	98JKPD8_lumA
ZFP69_M07686_2.00	chr2:122980916-122980934	98JKPD8_lumA
ZFP69_M07686_2.00	chr13:24175537-24175555	98JKPD8_lumA
ZFP69_M07686_2.00	chr10:62451312-62451330	2GAMBDQ_norm
ZFP69_M07686_2.00	chr2:150117556-150117574	98JKPD8_lumA
ZFP69_M07686_2.00	chr5:173707017-173707035	98JKPD8_lumA
