motif_id	region_id	sample_id
ITF2_ITF2_HUMAN.H11MO.0.C	chr1:151511739-151511749	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr11:67670402-67670412	S6R691V_her2
ITF2_ITF2_HUMAN.H11MO.0.C	chr15:99057793-99057803	ANAB5F7_basal
ITF2_ITF2_HUMAN.H11MO.0.C	chr1:46517188-46517198	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr8:37460621-37460631	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr1:43935711-43935721	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr11:2912371-2912381	S6R691V_her2
ITF2_ITF2_HUMAN.H11MO.0.C	chr5:129904536-129904546	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr8:22757862-22757872	2GAMBDQ_norm
ITF2_ITF2_HUMAN.H11MO.0.C	chr1:18132901-18132911	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr8:23084301-23084311	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr3:50157210-50157220	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr1:46021601-46021611	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr1:33877144-33877154	ANAB5F7_basal
ITF2_ITF2_HUMAN.H11MO.0.C	chr19:29694784-29694794	ANAB5F7_basal
ITF2_ITF2_HUMAN.H11MO.0.C	chr19:45295117-45295127	ANAB5F7_basal
ITF2_ITF2_HUMAN.H11MO.0.C	chr2:128307301-128307311	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr1:26005968-26005978	98JKPD8_lumA
ITF2_ITF2_HUMAN.H11MO.0.C	chr16:66026319-66026329	98JKPD8_lumA
