motif_id	region_id	sample_id
NEUROD1_MA1109.1	chr6:159717208-159717221	ANAB5F7_basal
NEUROD1_MA1109.1	chr1:151831279-151831292	98JKPD8_lumA
NEUROD1_MA1109.1	chr8:133357051-133357064	ANAB5F7_basal
NEUROD1_MA1109.1	chr5:178078009-178078022	98JKPD8_lumA
NEUROD1_MA1109.1	chr22:36481988-36482001	98JKPD8_lumA
NEUROD1_MA1109.1	chr11:2912369-2912382	S6R691V_her2
NEUROD1_MA1109.1	chr12:132429100-132429113	ANAB5F7_basal
NEUROD1_MA1109.1	chr3:50157208-50157221	98JKPD8_lumA
NEUROD1_MA1109.1	chr8:133092190-133092203	98JKPD8_lumA
NEUROD1_MA1109.1	chr6:31367367-31367380	98JKPD8_lumA
NEUROD1_MA1109.1	chr4:125959-125972	ANAB5F7_basal
NEUROD1_MA1109.1	chr8:70215847-70215860	ANAB5F7_basal
NEUROD1_MA1109.1	chr6:31495383-31495396	ANAB5F7_basal
