motif_id	region_id	sample_id
ERR1_ERR1_HUMAN.H11MO.0.A	chr11:67670407-67670422	S6R691V_her2
ERR1_ERR1_HUMAN.H11MO.0.A	chr16:4625268-4625283	98JKPD8_lumA
ERR1_ERR1_HUMAN.H11MO.0.A	chr6:32666403-32666418	ANAB5F7_basal
ERR1_ERR1_HUMAN.H11MO.0.A	chr16:85461164-85461179	98JKPD8_lumA
ERR1_ERR1_HUMAN.H11MO.0.A	chr2:46989634-46989649	ANAB5F7_basal
ERR1_ERR1_HUMAN.H11MO.0.A	chr19:21787572-21787587	98JKPD8_lumA
ERR1_ERR1_HUMAN.H11MO.0.A	chr2:84920436-84920451	ANAB5F7_basal
ERR1_ERR1_HUMAN.H11MO.0.A	chr18:3817116-3817131	98JKPD8_lumA
ERR1_ERR1_HUMAN.H11MO.0.A	chr20:56890364-56890379	98JKPD8_lumA
ERR1_ERR1_HUMAN.H11MO.0.A	chr16:11370777-11370792	ANAB5F7_basal
ERR1_ERR1_HUMAN.H11MO.0.A	chr6:18691843-18691858	ANAB5F7_basal
ERR1_ERR1_HUMAN.H11MO.0.A	chr9:136838746-136838761	S6R691V_her2
ERR1_ERR1_HUMAN.H11MO.0.A	chr16:175646-175661	S6R691V_her2
