motif_id	region_id	sample_id
SIX1_SIX1_HUMAN.H11MO.0.A	chr18:76210074-76210088	2GAMBDQ_norm
SIX1_SIX1_HUMAN.H11MO.0.A	chr15:63019729-63019743	98JKPD8_lumA
SIX1_SIX1_HUMAN.H11MO.0.A	chr1:33176538-33176552	S6R691V_her2
SIX1_SIX1_HUMAN.H11MO.0.A	chr18:79988966-79988980	98JKPD8_lumA
SIX1_SIX1_HUMAN.H11MO.0.A	chr9:114621941-114621955	98JKPD8_lumA
SIX1_SIX1_HUMAN.H11MO.0.A	chr4:171445782-171445796	S6R691V_her2
SIX1_SIX1_HUMAN.H11MO.0.A	chr2:122514819-122514833	98JKPD8_lumA
SIX1_SIX1_HUMAN.H11MO.0.A	chr1:115764770-115764784	98JKPD8_lumA
SIX1_SIX1_HUMAN.H11MO.0.A	chr19:35124271-35124285	98JKPD8_lumA
SIX1_SIX1_HUMAN.H11MO.0.A	chr2:7010626-7010640	2GAMBDQ_norm
