motif_id	region_id	sample_id
HSF1_HSF1_HUMAN.H11MO.0.A	chr2:33521728-33521743	ANAB5F7_basal
HSF1_HSF1_HUMAN.H11MO.0.A	chr1:8121531-8121546	ANAB5F7_basal
HSF1_HSF1_HUMAN.H11MO.0.A	chr12:95003762-95003777	ANAB5F7_basal
HSF1_HSF1_HUMAN.H11MO.0.A	chr15:99057789-99057804	ANAB5F7_basal
HSF1_HSF1_HUMAN.H11MO.0.A	chr12:51218299-51218314	PU24GB8_lumB
HSF1_HSF1_HUMAN.H11MO.0.A	chr7:135679128-135679143	ANAB5F7_basal
HSF1_HSF1_HUMAN.H11MO.0.A	chr17:57939587-57939602	98JKPD8_lumA
HSF1_HSF1_HUMAN.H11MO.0.A	chr7:138196943-138196958	ANAB5F7_basal
HSF1_HSF1_HUMAN.H11MO.0.A	chr10:128929994-128930009	ANAB5F7_basal
HSF1_HSF1_HUMAN.H11MO.0.A	chr6:7267882-7267897	S6R691V_her2
