motif_id	region_id	sample_id
KLF9_M08088_2.00	chr16:53503247-53503260	S6R691V_her2
KLF9_M08088_2.00	chr19:3337141-3337154	98JKPD8_lumA
KLF9_M08088_2.00	chr8:126876837-126876850	ANAB5F7_basal
KLF9_M08088_2.00	chr9:132355264-132355277	PU24GB8_lumB
KLF9_M08088_2.00	chr1:46719404-46719417	98JKPD8_lumA
KLF9_M08088_2.00	chr16:16022157-16022170	S6R691V_her2
KLF9_M08088_2.00	chr1:234817015-234817028	ANAB5F7_basal
KLF9_M08088_2.00	chr1:156892493-156892506	ANAB5F7_basal
KLF9_M08088_2.00	chr16:86798811-86798824	ANAB5F7_basal
KLF9_M08088_2.00	chr15:93048897-93048910	ANAB5F7_basal
KLF9_M08088_2.00	chr1:54488368-54488381	98JKPD8_lumA
KLF9_M08088_2.00	chr7:73822381-73822394	98JKPD8_lumA
KLF9_M08088_2.00	chr11:67955814-67955827	ANAB5F7_basal
KLF9_M08088_2.00	chr6:20404182-20404195	ANAB5F7_basal
KLF9_M08088_2.00	chr3:115196006-115196019	S6R691V_her2
KLF9_M08088_2.00	chr2:112588930-112588943	98JKPD8_lumA
KLF9_M08088_2.00	chr10:116273635-116273648	98JKPD8_lumA
KLF9_M08088_2.00	chr6:106547201-106547214	S6R691V_her2
KLF9_M08088_2.00	chr1:151830649-151830662	98JKPD8_lumA
KLF9_M08088_2.00	chr19:55600439-55600452	S6R691V_her2
KLF9_M08088_2.00	chr2:59282989-59283002	98JKPD8_lumA
KLF9_M08088_2.00	chr1:107686027-107686040	98JKPD8_lumA
KLF9_M08088_2.00	chr5:34673958-34673971	ANAB5F7_basal
KLF9_M08088_2.00	chr8:38466888-38466901	98JKPD8_lumA
KLF9_M08088_2.00	chr18:13217662-13217675	98JKPD8_lumA
KLF9_M08088_2.00	chr17:81038281-81038294	98JKPD8_lumA
KLF9_M08088_2.00	chr8:4951752-4951765	2GAMBDQ_norm
KLF9_M08088_2.00	chr6:11855203-11855216	S6R691V_her2
KLF9_M08088_2.00	chr6:24865098-24865111	ANAB5F7_basal
KLF9_M08088_2.00	chr19:43777321-43777334	ANAB5F7_basal
KLF9_M08088_2.00	chr15:100464499-100464512	PU24GB8_lumB
KLF9_M08088_2.00	chr11:12137595-12137608	98JKPD8_lumA
KLF9_M08088_2.00	chr1:109274612-109274625	98JKPD8_lumA
KLF9_M08088_2.00	chr7:88227491-88227504	98JKPD8_lumA
KLF9_M08088_2.00	chr4:186190656-186190669	ANAB5F7_basal
KLF9_M08088_2.00	chr5:137627472-137627485	98JKPD8_lumA
KLF9_M08088_2.00	chr11:70760652-70760665	98JKPD8_lumA
KLF9_M08088_2.00	chr1:23791344-23791357	98JKPD8_lumA
KLF9_M08088_2.00	chr3:100401999-100402012	ANAB5F7_basal
KLF9_M08088_2.00	chr15:68365546-68365559	ANAB5F7_basal
KLF9_M08088_2.00	chr8:143218348-143218361	ANAB5F7_basal
KLF9_M08088_2.00	chr19:3361489-3361502	98JKPD8_lumA
KLF9_M08088_2.00	chr16:2830606-2830619	98JKPD8_lumA
KLF9_M08088_2.00	chr16:4623931-4623944	98JKPD8_lumA
KLF9_M08088_2.00	chr22:50170196-50170209	ANAB5F7_basal
KLF9_M08088_2.00	chr13:44374152-44374165	98JKPD8_lumA
KLF9_M08088_2.00	chr17:81018604-81018617	98JKPD8_lumA
KLF9_M08088_2.00	chr19:46016757-46016770	98JKPD8_lumA
