motif_id	region_id	sample_id
CTCFL_M08089_2.00	chr19:56121408-56121422	98JKPD8_lumA
CTCFL_M08089_2.00	chr15:69462867-69462881	98JKPD8_lumA
CTCFL_M08089_2.00	chr8:100212888-100212902	PU24GB8_lumB
CTCFL_M08089_2.00	chr1:146228812-146228826	ANAB5F7_basal
CTCFL_M08089_2.00	chr10:74827023-74827037	98JKPD8_lumA
CTCFL_M08089_2.00	chr1:46719407-46719421	98JKPD8_lumA
CTCFL_M08089_2.00	chr10:6163901-6163915	98JKPD8_lumA
CTCFL_M08089_2.00	chr3:52238928-52238942	ANAB5F7_basal
CTCFL_M08089_2.00	chr20:49593171-49593185	98JKPD8_lumA
CTCFL_M08089_2.00	chr10:73874631-73874645	ANAB5F7_basal
CTCFL_M08089_2.00	chr8:26458577-26458591	98JKPD8_lumA
CTCFL_M08089_2.00	chr11:69485655-69485669	PU24GB8_lumB
CTCFL_M08089_2.00	chr12:9648075-9648089	ANAB5F7_basal
CTCFL_M08089_2.00	chr4:40057130-40057144	98JKPD8_lumA
CTCFL_M08089_2.00	chr3:115196002-115196016	S6R691V_her2
CTCFL_M08089_2.00	chr5:139788175-139788189	98JKPD8_lumA
CTCFL_M08089_2.00	chr22:45535372-45535386	PU24GB8_lumB
CTCFL_M08089_2.00	chr9:129497303-129497317	98JKPD8_lumA
CTCFL_M08089_2.00	chr18:58402515-58402529	2GAMBDQ_norm
CTCFL_M08089_2.00	chr18:48357206-48357220	98JKPD8_lumA
CTCFL_M08089_2.00	chr10:123559520-123559534	ANAB5F7_basal
CTCFL_M08089_2.00	chr1:84772521-84772535	98JKPD8_lumA
CTCFL_M08089_2.00	chr7:105521724-105521738	ANAB5F7_basal
CTCFL_M08089_2.00	chr8:22757859-22757873	2GAMBDQ_norm
