motif_id	region_id	sample_id
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr6:90744332-90744344	2GAMBDQ_norm
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr3:52852385-52852397	2GAMBDQ_norm
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr17:54744983-54744995	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr8:18676999-18677011	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr3:190306664-190306676	ANAB5F7_basal
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr12:1562847-1562859	ANAB5F7_basal
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr10:78302237-78302249	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr10:9066344-9066356	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr1:236523041-236523053	PU24GB8_lumB
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr1:188770064-188770076	2GAMBDQ_norm
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr1:66286521-66286533	S6R691V_her2
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr4:117416489-117416501	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr4:88319002-88319014	2GAMBDQ_norm
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr12:106234743-106234755	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr9:977903-977915	ANAB5F7_basal
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr6:48649957-48649969	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr3:125186291-125186303	98JKPD8_lumA
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr3:11706761-11706773	S6R691V_her2
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr7:50681726-50681738	ANAB5F7_basal
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr8:63474546-63474558	ANAB5F7_basal
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr4:144748744-144748756	2GAMBDQ_norm
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr8:70215842-70215854	ANAB5F7_basal
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr6:55257155-55257167	2GAMBDQ_norm
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr3:124607304-124607316	ANAB5F7_basal
FOXA1_FOXA1_HUMAN.H11MO.0.A	chr19:38962206-38962218	ANAB5F7_basal
