motif_id	region_id	sample_id
THAP1_M08020_2.00	chr16:3003909-3003930	98JKPD8_lumA
THAP1_M08020_2.00	chr3:40457345-40457366	98JKPD8_lumA
THAP1_M08020_2.00	chr20:25407548-25407569	ANAB5F7_basal
THAP1_M08020_2.00	chr12:124904972-124904993	98JKPD8_lumA
THAP1_M08020_2.00	chr3:40452771-40452792	98JKPD8_lumA
THAP1_M08020_2.00	chr13:46135248-46135269	98JKPD8_lumA
THAP1_M08020_2.00	chr12:16347500-16347521	ANAB5F7_basal
THAP1_M08020_2.00	chr9:120580313-120580334	98JKPD8_lumA
THAP1_M08020_2.00	chr18:48750218-48750239	ANAB5F7_basal
THAP1_M08020_2.00	chr8:125285125-125285146	98JKPD8_lumA
THAP1_M08020_2.00	chr2:235542982-235543003	S6R691V_her2
THAP1_M08020_2.00	chr1:1068237-1068258	PU24GB8_lumB
THAP1_M08020_2.00	chr17:68101282-68101303	98JKPD8_lumA
THAP1_M08020_2.00	chr10:132985120-132985141	2GAMBDQ_norm
THAP1_M08020_2.00	chr19:55359217-55359238	2GAMBDQ_norm
THAP1_M08020_2.00	chr20:45407791-45407812	98JKPD8_lumA
THAP1_M08020_2.00	chr17:4987542-4987563	98JKPD8_lumA
THAP1_M08020_2.00	chr12:51218222-51218243	98JKPD8_lumA
THAP1_M08020_2.00	chr13:110338829-110338850	ANAB5F7_basal
THAP1_M08020_2.00	chr8:100809560-100809581	ANAB5F7_basal
