motif_id	region_id	sample_id
AP2B_AP2B_HUMAN.H11MO.0.B	chr1:966223-966233	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr3:3799745-3799755	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr5:141850069-141850079	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr12:6946690-6946700	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr16:88245922-88245932	ANAB5F7_basal
AP2B_AP2B_HUMAN.H11MO.0.B	chr1:111204070-111204080	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr18:48997037-48997047	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr14:91510719-91510729	S6R691V_her2
AP2B_AP2B_HUMAN.H11MO.0.B	chr9:97511885-97511895	ANAB5F7_basal
AP2B_AP2B_HUMAN.H11MO.0.B	chr5:138337471-138337481	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr4:76949582-76949592	ANAB5F7_basal
AP2B_AP2B_HUMAN.H11MO.0.B	chr9:111525172-111525182	2GAMBDQ_norm
AP2B_AP2B_HUMAN.H11MO.0.B	chr7:22083174-22083184	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr13:98143375-98143385	98JKPD8_lumA
AP2B_AP2B_HUMAN.H11MO.0.B	chr11:130897296-130897306	2GAMBDQ_norm
