motif_id	region_id	sample_id
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr1:15835021-15835036	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr15:99733406-99733421	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr1:175197657-175197672	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr15:99057787-99057802	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr13:112931582-112931597	98JKPD8_lumA
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr5:178078012-178078027	98JKPD8_lumA
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr22:50219619-50219634	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr11:2912372-2912387	S6R691V_her2
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr12:76031149-76031164	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr7:32490321-32490336	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr3:57170415-57170430	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr9:90014324-90014339	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr3:111967884-111967899	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr12:112938511-112938526	98JKPD8_lumA
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr1:112502253-112502268	98JKPD8_lumA
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr1:46021595-46021610	98JKPD8_lumA
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr19:45295111-45295126	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr12:56129271-56129286	S6R691V_her2
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr13:110565553-110565568	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr21:29509799-29509814	98JKPD8_lumA
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr14:23183489-23183504	98JKPD8_lumA
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr3:194985402-194985417	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr16:4625709-4625724	ANAB5F7_basal
MYOD1_MYOD1_HUMAN.H11MO.0.A	chr16:85474366-85474381	98JKPD8_lumA
