motif_id	region_id	sample_id
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr20:17722199-17722210	98JKPD8_lumA
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr8:2127751-2127762	98JKPD8_lumA
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr10:119001233-119001244	S6R691V_her2
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr19:48589292-48589303	98JKPD8_lumA
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr1:84772519-84772530	98JKPD8_lumA
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr12:2550680-2550691	98JKPD8_lumA
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr11:111283341-111283352	98JKPD8_lumA
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr20:49288461-49288472	98JKPD8_lumA
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr1:222738617-222738628	ANAB5F7_basal
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr4:165086115-165086126	ANAB5F7_basal
CEBPD_CEBPD_HUMAN.H11MO.0.C	chr15:99733937-99733948	ANAB5F7_basal
