motif_id	region_id	sample_id
NKX21_NKX21_HUMAN.H11MO.0.A	chr9:19127641-19127651	ANAB5F7_basal
NKX21_NKX21_HUMAN.H11MO.0.A	chr8:27740651-27740661	S6R691V_her2
NKX21_NKX21_HUMAN.H11MO.0.A	chr9:110256716-110256726	ANAB5F7_basal
NKX21_NKX21_HUMAN.H11MO.0.A	chr6:31835285-31835295	ANAB5F7_basal
NKX21_NKX21_HUMAN.H11MO.0.A	chr20:8693833-8693843	ANAB5F7_basal
NKX21_NKX21_HUMAN.H11MO.0.A	chr10:59873283-59873293	S6R691V_her2
NKX21_NKX21_HUMAN.H11MO.0.A	chr11:34633811-34633821	S6R691V_her2
NKX21_NKX21_HUMAN.H11MO.0.A	chr5:34673954-34673964	ANAB5F7_basal
NKX21_NKX21_HUMAN.H11MO.0.A	chr1:154352817-154352827	98JKPD8_lumA
NKX21_NKX21_HUMAN.H11MO.0.A	chr3:64267121-64267131	98JKPD8_lumA
NKX21_NKX21_HUMAN.H11MO.0.A	chr7:16814257-16814267	98JKPD8_lumA
