motif_id	region_id	sample_id
KLF12_KLF12_HUMAN.H11MO.0.C	chr19:18636876-18636887	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr19:10654188-10654199	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr8:142777365-142777376	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr11:119018402-119018413	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr1:156591763-156591774	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr3:155870373-155870384	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr10:73997812-73997823	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr11:61429982-61429993	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr2:25041965-25041976	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr15:97960861-97960872	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr16:56932098-56932109	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr2:170928911-170928922	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr19:58347694-58347705	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr11:236471-236482	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr20:407965-407976	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr8:102791265-102791276	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr3:52238928-52238939	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr16:16022158-16022169	S6R691V_her2
KLF12_KLF12_HUMAN.H11MO.0.C	chr16:57372937-57372948	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr9:38392600-38392611	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chrX:119606545-119606556	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr10:28503311-28503322	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr8:23682896-23682907	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr2:218406012-218406023	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr7:73822382-73822393	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr21:46229161-46229172	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr3:184345997-184346008	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr14:94174198-94174209	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr7:63068412-63068423	S6R691V_her2
KLF12_KLF12_HUMAN.H11MO.0.C	chr9:128218856-128218867	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr7:767727-767738	98JKPD8_lumA
KLF12_KLF12_HUMAN.H11MO.0.C	chr6:3259227-3259238	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr2:234497140-234497151	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr1:246506837-246506848	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr5:180353380-180353391	ANAB5F7_basal
KLF12_KLF12_HUMAN.H11MO.0.C	chr10:133261689-133261700	98JKPD8_lumA
