motif_id	region_id	sample_id
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr2:44168162-44168174	ANAB5F7_basal
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr1:30685434-30685446	PU24GB8_lumB
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr8:26458577-26458589	98JKPD8_lumA
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr8:85582305-85582317	98JKPD8_lumA
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr1:33176701-33176713	S6R691V_her2
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr9:136696091-136696103	S6R691V_her2
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr10:123559520-123559532	ANAB5F7_basal
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr14:51652382-51652394	98JKPD8_lumA
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr20:692986-692998	ANAB5F7_basal
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr2:84957892-84957904	ANAB5F7_basal
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr17:50532418-50532430	S6R691V_her2
ZBT48_ZBT48_HUMAN.H11MO.0.C	chr6:3712647-3712659	98JKPD8_lumA
