motif_id	region_id	sample_id
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr11:83285935-83285949	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr6:43770601-43770615	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr8:95087780-95087794	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr8:94553297-94553311	PU24GB8_lumB
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr16:8797452-8797466	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr10:116273643-116273657	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr21:16420332-16420346	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr7:131061228-131061242	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr8:70217449-70217463	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr10:6298368-6298382	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr19:40190601-40190615	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr8:58234623-58234637	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr1:147541096-147541110	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr6:4313490-4313504	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr17:81082645-81082659	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr8:27323932-27323946	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr20:4162372-4162386	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr11:12137586-12137600	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr10:110804060-110804074	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr8:56752458-56752472	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr6:3453600-3453614	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr7:16814249-16814263	98JKPD8_lumA
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr20:33412535-33412549	PU24GB8_lumB
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr6:168146162-168146176	S6R691V_her2
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr3:49461722-49461736	2GAMBDQ_norm
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr11:70117632-70117646	2GAMBDQ_norm
PRDM1_PRDM1_HUMAN.H11MO.0.A	chrX:67605513-67605527	S6R691V_her2
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr11:62856819-62856833	ANAB5F7_basal
PRDM1_PRDM1_HUMAN.H11MO.0.A	chr7:101943050-101943064	98JKPD8_lumA
