motif_id	region_id	sample_id
STAT1STAT2_MA0517.1	chr6:31272232-31272247	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr6:31271427-31271442	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr13:28035260-28035275	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr21:16420332-16420347	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr12:89918927-89918942	PU24GB8_lumB
STAT1STAT2_MA0517.1	chr14:84124902-84124917	2GAMBDQ_norm
STAT1STAT2_MA0517.1	chr10:6298368-6298383	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr6:31717869-31717884	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr11:87000446-87000461	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr4:107720139-107720154	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr5:14208802-14208817	PU24GB8_lumB
STAT1STAT2_MA0517.1	chr1:192575660-192575675	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr2:175770882-175770897	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr6:4313490-4313505	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr5:82278548-82278563	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr11:45931259-45931274	2GAMBDQ_norm
STAT1STAT2_MA0517.1	chr5:134175931-134175946	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr10:61937853-61937868	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr2:215311584-215311599	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr11:114167228-114167243	2GAMBDQ_norm
STAT1STAT2_MA0517.1	chr22:33806290-33806305	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr10:59709767-59709782	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr6:150667764-150667779	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr8:114010141-114010156	PU24GB8_lumB
STAT1STAT2_MA0517.1	chr8:26409935-26409950	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr8:18562917-18562932	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr11:102279700-102279715	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr7:83648904-83648919	S6R691V_her2
STAT1STAT2_MA0517.1	chr11:75723268-75723283	ANAB5F7_basal
STAT1STAT2_MA0517.1	chr6:32667143-32667158	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr12:11650484-11650499	98JKPD8_lumA
STAT1STAT2_MA0517.1	chr2:32365323-32365338	PU24GB8_lumB
STAT1STAT2_MA0517.1	chr3:49461722-49461737	2GAMBDQ_norm
