motif_id	region_id	sample_id
ZBTB18_M08257_2.00	chr16:2830094-2830106	98JKPD8_lumA
ZBTB18_M08257_2.00	chr7:155166869-155166881	S6R691V_her2
ZBTB18_M08257_2.00	chr17:80900998-80901010	ANAB5F7_basal
ZBTB18_M08257_2.00	chr5:1799923-1799935	98JKPD8_lumA
ZBTB18_M08257_2.00	chr11:67670401-67670413	S6R691V_her2
ZBTB18_M08257_2.00	chr6:73263217-73263229	ANAB5F7_basal
ZBTB18_M08257_2.00	chr5:159519486-159519498	ANAB5F7_basal
ZBTB18_M08257_2.00	chr11:7598020-7598032	98JKPD8_lumA
ZBTB18_M08257_2.00	chr1:172450474-172450486	ANAB5F7_basal
ZBTB18_M08257_2.00	chr3:50151738-50151750	98JKPD8_lumA
