motif_id	region_id	sample_id
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr8:142777350-142777369	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr22:25110797-25110816	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr17:50533803-50533822	S6R691V_her2
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr10:16966405-16966424	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr1:25023112-25023131	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr16:89827740-89827759	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr9:120580324-120580343	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr11:125569521-125569540	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr9:42568713-42568732	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr20:45409707-45409726	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr16:4625267-4625286	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr6:31835270-31835289	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr12:1562847-1562866	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr3:8963393-8963412	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr17:41529198-41529217	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr1:9110750-9110769	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr16:75266274-75266293	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr15:101470783-101470802	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr3:50151618-50151637	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr3:189572721-189572740	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr19:33819877-33819896	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr5:36324474-36324493	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr2:86622887-86622906	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr6:31272523-31272542	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr14:100144761-100144780	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr10:79147383-79147402	98JKPD8_lumA
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr17:68513128-68513147	S6R691V_her2
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr13:109243460-109243479	2GAMBDQ_norm
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr7:111138407-111138426	ANAB5F7_basal
NR1H3_NR1H3_HUMAN.H11MO.0.B	chr5:10018169-10018188	PU24GB8_lumB
