motif_id	region_id	sample_id
NKX31_NKX31_HUMAN.H11MO.0.C	chr19:55599933-55599945	S6R691V_her2
NKX31_NKX31_HUMAN.H11MO.0.C	chr1:150234417-150234429	ANAB5F7_basal
NKX31_NKX31_HUMAN.H11MO.0.C	chr11:34633811-34633823	S6R691V_her2
NKX31_NKX31_HUMAN.H11MO.0.C	chr1:214467377-214467389	98JKPD8_lumA
NKX31_NKX31_HUMAN.H11MO.0.C	chr16:8679450-8679462	98JKPD8_lumA
NKX31_NKX31_HUMAN.H11MO.0.C	chr2:30148482-30148494	ANAB5F7_basal
NKX31_NKX31_HUMAN.H11MO.0.C	chr17:68238304-68238316	S6R691V_her2
NKX31_NKX31_HUMAN.H11MO.0.C	chr8:30124994-30125006	98JKPD8_lumA
NKX31_NKX31_HUMAN.H11MO.0.C	chr15:60398354-60398366	98JKPD8_lumA
NKX31_NKX31_HUMAN.H11MO.0.C	chr3:150733962-150733974	98JKPD8_lumA
NKX31_NKX31_HUMAN.H11MO.0.C	chr1:31476866-31476878	2GAMBDQ_norm
