motif_id	region_id	sample_id
TFAP2C_M07783_2.00	chr17:68101587-68101602	98JKPD8_lumA
TFAP2C_M07783_2.00	chr9:136950047-136950062	S6R691V_her2
TFAP2C_M07783_2.00	chr6:168390748-168390763	98JKPD8_lumA
TFAP2C_M07783_2.00	chr10:73874630-73874645	ANAB5F7_basal
TFAP2C_M07783_2.00	chr5:132294068-132294083	98JKPD8_lumA
TFAP2C_M07783_2.00	chr1:234958240-234958255	S6R691V_her2
TFAP2C_M07783_2.00	chr20:49593170-49593185	98JKPD8_lumA
TFAP2C_M07783_2.00	chr7:149077-149092	ANAB5F7_basal
TFAP2C_M07783_2.00	chr16:88245921-88245936	ANAB5F7_basal
TFAP2C_M07783_2.00	chr21:42973937-42973952	ANAB5F7_basal
TFAP2C_M07783_2.00	chr4:76949577-76949592	ANAB5F7_basal
TFAP2C_M07783_2.00	chr21:36157109-36157124	ANAB5F7_basal
TFAP2C_M07783_2.00	chr9:97511881-97511896	ANAB5F7_basal
TFAP2C_M07783_2.00	chr7:149091244-149091259	ANAB5F7_basal
TFAP2C_M07783_2.00	chr8:26458576-26458591	98JKPD8_lumA
TFAP2C_M07783_2.00	chr1:111204070-111204085	98JKPD8_lumA
TFAP2C_M07783_2.00	chr7:105521727-105521742	ANAB5F7_basal
TFAP2C_M07783_2.00	chr7:22083162-22083177	98JKPD8_lumA
TFAP2C_M07783_2.00	chr12:10191968-10191983	ANAB5F7_basal
TFAP2C_M07783_2.00	chr5:138337467-138337482	98JKPD8_lumA
TFAP2C_M07783_2.00	chr9:136555693-136555708	ANAB5F7_basal
TFAP2C_M07783_2.00	chr2:231666359-231666374	98JKPD8_lumA
TFAP2C_M07783_2.00	chr3:194091280-194091295	S6R691V_her2
TFAP2C_M07783_2.00	chr17:64334219-64334234	ANAB5F7_basal
TFAP2C_M07783_2.00	chr21:43603344-43603359	ANAB5F7_basal
TFAP2C_M07783_2.00	chr10:3122697-3122712	ANAB5F7_basal
