motif_id	region_id	sample_id
MEIS2_MA1640.1	chr22:25110809-25110824	98JKPD8_lumA
MEIS2_MA1640.1	chr20:49307208-49307223	98JKPD8_lumA
MEIS2_MA1640.1	chr5:126477982-126477997	2GAMBDQ_norm
MEIS2_MA1640.1	chr17:8221237-8221252	98JKPD8_lumA
MEIS2_MA1640.1	chr3:126357919-126357934	ANAB5F7_basal
MEIS2_MA1640.1	chr3:30562518-30562533	2GAMBDQ_norm
MEIS2_MA1640.1	chr6:148341962-148341977	ANAB5F7_basal
MEIS2_MA1640.1	chr1:188706877-188706892	PU24GB8_lumB
MEIS2_MA1640.1	chr19:38962207-38962222	ANAB5F7_basal
MEIS2_MA1640.1	chr6:168514562-168514577	98JKPD8_lumA
MEIS2_MA1640.1	chr11:74258356-74258371	98JKPD8_lumA
MEIS2_MA1640.1	chr19:39731892-39731907	98JKPD8_lumA
